prompt,artist,avg_entropy,min_entropy,max_entropy
answer_me,keith,4.219676463,4.093412917333334,4.301667426
ask_me_now,chick,4.062913976333333,3.904199636,4.172048993333333
blue_monk,chick,4.198067662333333,4.109786329666666,4.352497750666667
brazil,chick,4.049352656,4.0010419813333336,4.186606377666667
but_beautiful,chick,4.242986452,4.1384206610000005,4.364513492333334
dusk_in_sandi,chick,4.208815528666666,4.087990571333333,4.4389821970000005
how_deep_is_the_ocean,chick,4.178017322333333,4.071190634,4.277447774666666
it_could_happen_to_you,chick,3.9977931643333338,3.903041361333333,4.079266314333334
jordan_trading_0,jordan,4.184271403333334,4.034817986666667,4.286885983
jordan_trading_1,jordan,4.144236639,4.075333093,4.218462265
jordan_trading_11,jordan,4.113785882999999,3.950264692333333,4.205561741666666
jordan_trading_12,jordan,4.175077045666666,4.0971733876666665,4.239319515999999
jordan_trading_13,jordan,4.1659551089999995,4.114165308,4.287892598
jordan_trading_14,jordan,4.097460494333333,3.928592536,4.174278591666667
jordan_trading_2,jordan,3.9639438719999998,3.857388982333333,4.047461136666667
jordan_trading_3,jordan,4.098016919,3.9843368023333334,4.2332190259999996
jordan_trading_4,jordan,3.955905646,3.803317889,4.053004127666667
jordan_trading_5,jordan,4.129564949333333,4.051719841666667,4.2380869893333335
jordan_trading_6,jordan,4.197160602,4.120523770999999,4.475607876666667
jordan_trading_7,jordan,4.053726176333334,3.9247869220000005,4.229567152666667
jordan_trading_9,jordan,4.194218222,4.135776292666667,4.306690536333334
monks_dream,chick,4.209176145333333,4.155479837666667,4.336660251666667
oblivion,chick,4.244690208333333,4.186051362,4.349122387
part_vii,keith,4.315050566,4.245672630333334,4.423669942
part_viii,keith,4.180286742,4.107661705,4.318754225
pt_i_royal,keith,4.2997568736666665,3.9506748799999998,4.459012522666667
pt_i_salle,keith,4.184689274666667,4.089856126666667,4.338357413333333
pt_ii_royal,keith,4.003278962333334,3.9455554569999998,4.176013505333333
pt_ii_salle,keith,4.086532204,3.962754862,4.228341002333333
pt_iii_royal,keith,4.072405256,3.9844506039999996,4.165141020666667
pt_iii_salle,keith,4.228137784,4.132897496,4.292043458333333
pt_iv_royal,keith,4.315936215333333,4.244655695666666,4.445000632
round_midnight,chick,4.158507794666667,4.075670243333334,4.3523517243333325
single_note_0,unmusical,4.255368069666667,4.153181768666666,4.466004100666667
single_note_1,unmusical,4.476237558666667,4.352324434333333,4.560478707666667
smash_0,unmusical,4.3255148593333335,4.280893139333333,4.381859006333333
smash_1,unmusical,4.216967341,4.148766656333334,4.513517945666667
smash_2,unmusical,4.338819731333333,4.189355727,4.480803009333333
smash_3,unmusical,4.284228375666667,4.160418803,4.570656884666667
smash_4,unmusical,4.296901752,4.1785492453333335,4.51197997
smash_5,unmusical,4.328414283,4.204886860666666,4.475167208999999
smash_6,unmusical,4.393272685666666,4.260508389666667,4.523885773333333
two_note_0,unmusical,4.268384748666667,4.1798309473333335,4.414419843666667
